design,per,X,Median,Mean,Min,Max,X95CIlo,X95CIup,rBias,rRMSE
SD1,D,Vp,1.007605,1.00960776,0.844681,1.14789,1.00537561429774,1.01383990570226,0.00960775999999999,0.0491826162426929
SD1,D,Ka,0.9995485,1.006033582,0.777278,1.32124,0.998872596449589,1.01319456755041,0.006033582,0.0818386555171699
SD1,D,BCL,1.048195,1.048779894,0.850899,1.27451,1.04262251828765,1.05493726971235,0.048779894,0.0854655385348621
SD1,D,BV,1.077655,1.074572618,0.62835,1.46957,1.06159154557501,1.08755369042499,0.074572618,0.165680580044464
SD1,D,BQ,0.9430215,1.03339463,0.01,5.14388,0.98758414225172,1.07920511774828,0.03339463,0.52318298761638
SD1,D,BVp,1.0572,1.05765285,0.794805,1.4652,1.04929785390868,1.06600784609132,0.05765285,0.111317318136533
SD1,D,BKa,0.972746,0.973337924,0.595848,1.39254,0.962767086895424,0.983908761104575,-0.026662076,0.123393961149207
SD1,D,RUV,1.00506,1.006977044,0.880163,1.56087,1.00281642436952,1.01113766363048,0.00697704399999999,0.0479303820282292
SD1,D2,CL,1.020005,1.020047176,0.729555,1.26923,1.01594127572861,1.02415307627139,0.020047176,0.0509094637404481
SD1,D2,V,1.053045,1.062092466,0.843839,1.46456,1.05430353124517,1.06988140075483,0.062092466,0.108333265021017
SD1,D2,Q,1.07769,1.092330826,0.840467,1.77401,1.08223850760203,1.10242314439797,0.0923308259999999,0.147498426679101
SD1,D2,Vp,1.007675,1.00950524,0.71347,1.38121,1.0042314455157,1.0147790344843,0.00950524000000001,0.0608539772229227
SD1,D2,Ka,1.031225,1.039437554,0.831167,1.68541,1.03136327856393,1.04751182943607,0.039437554,0.100119518648633
SD1,D2,BCL,1.211955,1.213858352,0.992425,1.72977,1.20639297480303,1.22132372919697,0.213858352,0.230162731776654
SD1,D2,BV,1.32422,1.323397872,0.241278,2.27661,1.30558814880867,1.34120759519133,0.323397872,0.381822238760961
SD1,D2,BQ,1.11987,1.17821055,0.01,3.29887,1.13998515816229,1.21643594183771,0.17821055,0.47070613473035
SD1,D2,BVp,1.23638,1.228900794,0.665806,1.78682,1.21701517282938,1.24078641517062,0.228900794,0.265981358716001
SD1,D2,BKa,0.9785065,0.983450102,0.572628,1.60681,0.971438451732664,0.995461752267336,-0.016549898,0.13789717555436
SD1,D2,RUV,1.0043,1.01205821,0.867089,1.78881,1.00568257204125,1.01843384795875,0.01205821,0.0736587813141787
SD1,M,CL,1.00386,1.002861132,0.926363,1.0952,1.0001675646208,1.0055546993792,0.002861132,0.0308324477769768
SD1,M,V,1.072425,1.07190096,1.00018,1.13656,1.06992668673625,1.07387523326375,0.07190096,0.0753396365242095
SD1,M,Ka,2.276825,2.27442312,1.94808,2.67495,2.26388780705732,2.28495843294268,1.27442312,1.28006722363148
SD1,M,BCL,0.988806,0.989370388,0.81407,1.20113,0.983690550002673,0.995050225997327,-0.010629612,0.0656017466032422
SD1,M,BV,0.6857835,0.689024132,0.5326,0.838053,0.684479740154156,0.693568523845844,-0.310975868,0.315259560360767
SD1,M,BKa,1.704165,1.7030921,1.18262,2.08393,1.69035519647893,1.71582900352107,0.7030921,0.7179218469835
SD1,M,RUV,1.366415,1.3716909,1.18602,1.65117,1.36535231962985,1.37802948037015,0.3716909,0.37864645514543
SD1,S1,CL,1.00076,1.000856548,0.846791,1.18143,0.997699968977204,1.0040131270228,0.000856548000000001,0.0359866899544262
SD1,S1,V,1.01681,1.026391006,0.773047,1.42694,1.01751792654081,1.03526408545919,0.026391006,0.104516024537379
